Metabolite,RT,MZ,Intensity
0.53_291.8837m/z,0.53,291.8837,14022.19175
0.53_294.9466m/z,0.53,294.9466,12222.1701
0.53_314.8617m/z,0.53,314.8617,605.5958763
0.53_352.9349m/z,0.53,352.9349,19744.52371
0.53_422.8711m/z,0.53,422.8711,7575.451546
0.54_178.9421m/z,0.54,178.9421,6411.852577
0.54_266.9249m/z,0.54,266.9249,1581.008247
0.54_294.8854m/z,0.54,294.8854,40110.74639
0.54_336.9572m/z,0.54,336.9572,12149.1268
0.54_410.8629m/z,0.54,410.8629,3277.143299
0.54_498.8703m/z,0.54,498.8703,5261.586598
0.54_566.8442m/z,0.54,566.8442,6595.975258
0.54_292.9233m/z,0.54,292.9233,16699.37216
0.54_296.8823m/z,0.54,296.8823,12251.63608
0.54_338.9190m/z,0.54,338.919,78853.81443
0.54_552.8292m/z,0.54,552.8292,3352.03299
0.55_278.9079m/z,0.55,278.9079,72763.03608
0.55_636.7818m/z,0.55,636.7818,20281.00412
0.55_263.9318m/z,0.55,263.9318,1198.139175
0.55_278.9430m/z,0.55,278.943,3677.096907
