Compound_ID,MZ,RT,Intensity,Metabolite
7.18_86.0972m/z,86.0972,7.18,183317.93,
7.05_86.0972m/z,86.0972,7.05,238992.06,
9.72_86.0972m/z,86.0972,9.72,457.34,
0.45_86.0972m/z,86.0972,0.45,1555.36,
2.12_86.0972m/z,86.0972,2.12,353.66,
4.29_86.0972m/z,86.0972,4.29,300.47,
7.87_86.0979m/z,86.0979,7.87,1.85,
7.85_86.9094m/z,86.9094,7.85,3465.13,
0.33_87.0322m/z,87.0322,0.33,6.13,
1.78_87.0448m/z,87.0448,1.78,1419.76,
6.77_87.0560m/z,87.056,6.77,458.17,
7.98_87.0560m/z,87.056,7.98,4022.86,
6.99_87.0560m/z,87.056,6.99,15952.8,
6.01_87.0560m/z,87.056,6.01,38793.38,
0.36_87.0924m/z,87.0924,0.36,2962.52,
7.56_87.0924m/z,87.0924,7.56,37.14,
7.92_87.0924m/z,87.0924,7.92,110.22,
9.49_87.0924m/z,87.0924,9.49,1329.43,
6.98_87.0924m/z,87.0924,6.98,326.43,
7.05_87.1005m/z,87.1005,7.05,13078.42,
7.18_87.1005m/z,87.1005,7.18,8649.56,
7.79_87.1005m/z,87.1005,7.79,171.4,
7.43_87.1005m/z,87.1005,7.43,4.87,
7.05_87.1034m/z,87.1034,7.05,85.73,
0.35_87.1048m/z,87.1048,0.35,11.96,
